iter	Passed	Remaining
0	131	131474
1	132	66072
2	133	44252
3	133	33327
4	134	26774
5	135	22408
6	135	19276
7	136	16929
8	137	15118
9	138	13662
10	138	12466
11	139	11474
12	140	10638
13	140	9921
14	141	9298
15	142	8752
16	142	8268
17	143	7834
18	144	7448
19	144	7102
20	145	6787
21	146	6508
22	147	6248
23	147	6012
24	148	5791
25	149	5585
26	149	5395
27	150	5220
28	151	5061
29	152	4917
30	152	4778
31	153	4645
32	154	4519
33	154	4400
34	155	4291
35	156	4187
36	157	4089
37	157	3997
38	158	3909
39	159	3824
40	160	3743
41	160	3665
42	161	3591
43	162	3520
44	162	3454
45	163	3391
46	164	3330
47	164	3271
48	166	3222
49	166	3169
50	167	3117
51	168	3067
52	168	3018
53	169	2972
54	170	2927
55	171	2883
56	171	2842
57	172	2801
58	173	2761
59	173	2722
60	174	2684
61	175	2648
62	175	2612
63	176	2578
64	177	2546
65	177	2515
66	178	2483
67	179	2454
68	179	2427
69	180	2400
70	181	2374
71	182	2346
72	182	2319
73	183	2293
74	183	2268
75	184	2244
76	185	2221
77	186	2198
78	186	2176
79	187	2153
80	187	2131
81	188	2110
82	188	2085
83	189	2065
84	190	2045
85	190	2026
86	191	2007
87	192	1989
88	192	1973
89	194	1961
90	194	1946
91	195	1930
92	196	1913
93	196	1897
94	197	1881
95	198	1866
96	198	1850
97	199	1835
98	199	1819
99	200	1805
100	201	1791
101	202	1778
102	202	1766
103	203	1752
104	204	1740
105	204	1727
106	205	1714
107	206	1703
108	207	1694
109	208	1683
110	208	1671
111	209	1660
112	210	1649
113	210	1637
114	211	1626
115	211	1614
116	212	1603
117	213	1593
118	213	1583
119	214	1573
120	215	1564
121	215	1553
122	216	1543
123	217	1533
124	217	1524
125	218	1515
126	219	1505
127	219	1497
128	220	1490
129	221	1483
130	222	1476
131	223	1467
132	223	1460
133	224	1451
134	225	1442
135	225	1434
136	226	1426
137	227	1418
138	227	1410
139	228	1403
140	229	1395
141	229	1387
142	230	1379
143	230	1372
144	231	1365
145	232	1362
146	234	1358
147	235	1354
148	236	1352
149	238	1349
150	239	1344
151	240	1341
152	241	1339
153	242	1334
154	244	1333
155	246	1331
156	247	1330
157	248	1326
158	250	1324
159	251	1318
160	251	1311
161	252	1305
162	253	1299
163	253	1294
164	254	1288
165	255	1282
166	255	1276
167	256	1270
168	257	1264
169	257	1258
170	258	1253
171	259	1248
172	259	1242
173	260	1237
174	261	1233
175	262	1228
176	262	1222
177	263	1217
178	264	1212
179	264	1206
180	265	1201
181	266	1196
182	266	1191
183	267	1186
184	268	1181
185	268	1176
186	269	1171
187	270	1166
188	270	1162
189	271	1157
190	272	1153
191	273	1148
192	273	1144
193	274	1140
194	275	1136
195	276	1133
196	276	1128
197	277	1124
198	278	1119
199	278	1115
200	279	1110
201	280	1106
202	280	1102
203	281	1097
204	281	1093
205	282	1088
206	283	1084
207	284	1081
208	284	1077
209	285	1073
210	286	1069
211	286	1065
212	287	1061
213	288	1058
214	288	1054
215	289	1051
216	290	1047
217	290	1043
218	291	1040
219	292	1036
220	293	1033
221	293	1029
222	294	1025
223	295	1022
224	295	1018
225	296	1015
226	297	1011
227	297	1008
228	298	1004
229	299	1001
230	299	998
231	300	995
232	301	992
233	302	989
234	303	986
235	303	983
236	304	980
237	305	976
238	305	973
239	306	970
240	307	966
241	307	963
242	308	960
243	309	957
244	309	954
245	310	952
246	311	949
247	312	946
248	312	943
249	313	941
250	314	938
251	315	935
252	316	933
253	316	930
254	317	927
255	318	924
256	318	921
257	319	919
258	320	916
259	320	913
260	321	910
261	322	908
262	323	906
263	323	903
264	324	900
265	325	897
266	326	895
267	326	892
268	327	889
269	328	887
270	328	884
271	329	881
272	330	880
273	331	877
274	331	874
275	332	872
276	333	869
277	333	867
278	334	864
279	335	862
280	336	860
281	336	858
282	337	855
283	338	852
284	339	850
285	339	848
286	340	845
287	341	843
288	341	841
289	342	838
290	343	836
291	344	834
292	344	831
293	345	829
294	346	827
295	346	824
296	347	822
297	348	820
298	348	818
299	349	816
300	350	814
301	351	812
302	352	810
303	352	807
304	353	805
305	354	803
306	355	801
307	355	799
308	356	796
309	357	794
310	357	792
311	358	790
312	359	788
313	360	786
314	360	784
315	361	781
316	361	779
317	362	777
318	363	775
319	363	773
320	364	771
321	365	768
322	365	766
323	366	764
324	367	762
325	368	760
326	368	758
327	369	756
328	370	754
329	370	752
330	371	751
331	372	749
332	373	747
333	373	745
334	374	743
335	375	741
336	375	739
337	376	737
338	377	735
339	377	733
340	378	731
341	379	730
342	380	728
343	380	726
344	381	724
345	382	722
346	382	720
347	383	718
348	384	716
349	384	714
350	385	713
351	386	711
352	387	709
353	388	708
354	388	706
355	389	704
356	390	702
357	390	700
358	391	698
359	392	697
360	392	695
361	393	693
362	394	691
363	394	689
364	395	688
365	397	687
366	398	687
367	400	687
368	401	685
369	401	684
370	402	682
371	403	681
372	404	680
373	405	679
374	406	678
375	408	677
376	411	679
377	412	678
378	413	677
379	414	675
380	414	673
381	415	672
382	416	670
383	416	668
384	417	667
385	418	665
386	418	663
387	419	661
388	420	659
389	420	658
